hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,label
0.013942683,0.56300336,0.63768864,0.52474207,0.028750028,0.002269739,0.00032424845,0.000108082815,0.0153081985,0.5379881,0.8083329,0.23652667,0.0293157,0.011306055,0.00050026795,0.0,0.025459617,0.80354124,0.59405774,0.023136985,0.015097106,0.0023226317,0.0,0.0,diseased
0.01202335,0.50179505,0.7647673,0.403964,0.0011304005,0.0,0.0,0.0,0.020048464,0.5746258,0.7984519,0.17811172,0.011912855,0.0034866894,0.00019370497,0.0,0.024873843,0.7452381,0.6661748,0.01394712,0.004086417,0.001154857,0.0,0.0,diseased
0.029391395,0.50885105,0.8104627,0.28871548,0.0004998537,0.0,0.0,0.0,0.047850136,0.6269196,0.7332878,0.2574793,0.025478644,0.005075014,0.0008285738,0.0,0.0474247,0.7523323,0.6564817,0.027307888,0.0050064465,0.0028218152,0.0,0.0,diseased
0.022769269,0.60721236,0.7781732,0.15881087,0.00038267678,9.5669195e-05,0.0,0.0,0.04240244,0.7275314,0.66850245,0.14629333,0.02439862,0.0027546827,0.0,0.0,0.044743128,0.8410632,0.5379935,0.031831283,0.012642847,0.00080699025,0.0,0.0,diseased
0.018775025,0.43857613,0.70701677,0.5543906,0.008754646,0.00042191066,0.000105477666,0.000105477666,0.03428111,0.59361607,0.70243096,0.3824002,0.081058234,0.015039453,0.0029857738,0.0,0.037004694,0.6872166,0.72140366,0.07598172,0.011740068,0.0054473914,0.0,0.0,diseased
0.015131186,0.5699754,0.74756235,0.34065616,0.0017380416,0.0,0.0,0.0,0.018792288,0.6386395,0.755967,0.05399054,0.12796652,0.0317182,0.0019886019,0.0,0.02310499,0.81216395,0.57121193,0.1147705,0.019615665,0.0039608553,0.00028291825,0.0,diseased
0.024972789,0.6591179,0.6877752,0.30315328,0.001842255,0.0,0.0,0.0,0.041032225,0.6374766,0.6565156,0.015428117,0.39916146,0.036217775,0.0068934136,0.0,0.0460395,0.7599014,0.6176883,0.19684133,0.011085432,0.004693832,0.0,0.0,diseased
0.032160863,0.5739879,0.7262299,0.37695038,0.0014618575,0.0,0.0,0.0,0.0134135,0.62765247,0.7630791,0.081573956,0.1297632,0.008743615,0.0036762927,0.0,0.019761618,0.81475884,0.5756251,0.066264875,0.0057109264,0.0030820873,0.0,0.0,diseased
0.012422685,0.50678444,0.78038895,0.3660619,0.0026474572,0.0,0.0,0.0,0.021843791,0.6280342,0.7639287,0.037547164,0.12764022,0.061001554,0.009260963,0.0,0.02819009,0.84206223,0.52553046,0.11761428,0.008774399,0.006627471,0.000560068,0.0,diseased
0.017424703,0.6133495,0.71892273,0.32655942,0.0027674527,0.00030749475,0.0,0.0,0.026498316,0.7059317,0.6765351,0.18414259,0.09657394,0.004554398,0.0016561447,0.0,0.03239063,0.81226426,0.5816037,0.029981412,0.0030338333,0.0025876814,8.9230394e-05,0.0,diseased
